Il;Yas
Adana;32,1
Adiyaman;27,7
Afyonkarahisar;34,1
Agri;22,3
Amasya;38,1
Ankara;34,4
Antalya;35
Artvin;40,1
Aydin;38,1
Balikesir;40,6
Bilecik;36,1
Bingol;28,1
Bitlis;23,8
Bolu;37
Burdur;38,6
Bursa;34,8
Çanakkale;40,3
Çankiri;38,5
Çorum;38,1
Denizli;36,4
Diyarbakir;24,3
Edirne;40,4
Elazig;33
Erzincan;33,7
Erzurum;28,6
Eskisehir;36,9
Gaziantep;25,5
Giresun;40,4
Gumushane;34,5
Hakkari;24,2
Hatay;29,8
Isparta;36,3
Mersin;33,7
Istanbul;33,2
Izmir;37,2
Kars;27,8
Kastamonu;40,6
Kayseri;32,3
Kirklareli;39,8
Kirsehir;35,4
Kocaeli;32,6
Konya;31,8
Kutahya;37,5
Malatya;33,1
Manisa;36,2
Kahramanmaras;29,1
Mardin;23,5
Mugla;38,7
Mus;22,6
Nevsehir;34,7
Nigde;32,1
Ordu;38,5
Rize;37,5
Sakarya;34,1
Samsun;36,1
Siirt;22,4
Sinop;41,4
Sivas;34,1
Tekirdag;34,3
Tokat;36,6
Trabzon;36,3
Tunceli;37,5
Sanliurfa;20,4
Usak;36,9
Van;23
Yozgat;35
Zonguldak;39,3
Aksaray;31,1
Bayburt;30,8
Karaman;33,3
Kirikkale;36,1
Batman;23,2
Sirnak;21,2
Bartin;39,6
Ardahan;33,6
Igdir;25,9
Yalova;36,3
Karabuk;37,4
Kilis;27
Osmaniye;30,9
Duzce;34,4
